video_id,trending_date,title,channel_title,tags,views,likes,dislikes,comment_count,countries_trending_in,publish-day,publish-time
tOFkFZbPdnQ,11-14-2017,Typical audience reaction to a bass solo...,Danny Sapko,"['danny sapko', 'bass', 'funk bass', 'bass solo', 'free mp3 download', 'best bass', 'davie504', 'bass boosted songs', 'MEME', 'FUNNY VIDEO', 'VIRAL VIDEO', 'COWS', 'FUNK BASS', 'funk bass solo']",493662,7693,181,388,['US'],2017-11-09,00:44:51
J_QGZspO4gg,11-14-2017,Sia - Snowman,SiaVEVO,['Sia Snowman Holiday'],1624771,84426,1130,5981,"['US', 'GB']",2017-11-09,15:45:05
ozkqm2ifMw8,11-14-2017,2CELLOS - Cinema Paradiso [OFFICIAL VIDEO],2CELLOS,"['2CELLOS', 'Luka Sulic', 'Stjepan Hauser', 'cello', 'cellist', 'cellists', 'cover', 'Glee', 'The Piano Guys', 'crossover', '2 Cellos', 'two cellos', 'Hauser', 'Ennio Morricone', 'Cinema Paradiso', 'movie', 'film', 'soundtrack', 'classical', 'music', 'passion', 'Oliver Dragojevic', 'LSO', 'London Symphony Orchestra', 'new album', 'score']",205869,11198,120,446,"['US', 'GB']",2017-11-10,13:24:10
htvR_dBs3eg,11-14-2017,Sam Smith - The Thrill of It All ALBUM REVIEW,theneedledrop,"['album', 'review', 'music', 'reviews', 'indie', 'underground', 'new', 'latest', 'lyrics', 'full song', 'listen', 'track', 'concert', 'live', 'performance', 'update', 'the needle drop', 'anthony fantano', 'vlog', 'talk', 'discussion', 'music nerd', 'pop', 'soul', 'sam smith', 'the thrill of it all', 'in the lonely hour', 'too good at goodbyes', 'say it first', 'pray', 'london']",98422,2926,106,798,['US'],2017-11-10,21:38:57
1Wk8ZRgXQnY,11-14-2017,Andy Grammer - The Good Parts (Official Audio),Andy Grammer,"['andy', 'grammer', 'the', 'good', 'parts', 'smoke', 'clears', 'new', 'music', 'album', 'singer', 'songwriter', 'pop', 'mu']",33315,1365,24,91,['US'],2017-11-09,22:27:45
LMCuKltaY3M,11-14-2017,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,"['Elbow', 'Golden', 'Slumbers', 'Polydor', 'Alternative']",154494,2163,147,211,"['US', 'GB']",2017-11-10,08:00:01
7fm7mll2qvg,11-14-2017,Sigrid - Strangers (Lyric Video),SigridVEVO,"['Sigrid', 'Strangers', 'Island', 'Records', 'Pop']",91776,4604,46,357,"['US', 'GB']",2017-11-10,00:00:00
Q6Usd3_fbq8,11-14-2017,Improvising in the style of different classical composers | Practice Notes 34,Nahre Sol,"['improvise classical music', 'improvisation', 'classical music improv', 'debussy improv', 'whole tone scale', 'bach improv', 'chopin', 'chopin improv', 'classical music', 'piano improv', 'nahre sol', 'nahre sol music', 'classical composers imitation', 'classical music funny', 'music funny', 'music satire', 'music imitation', 'piano improviser']",5149,242,0,54,['US'],2017-11-10,04:08:31
44NYFvhXmW8,11-14-2017,Thirty Seconds To Mars - Walk On Water (Official Music Video),ThirtySecondsToMarsVEVO,"['Thirty', 'Seconds', 'To', 'Mars', 'Walk', 'On', 'Water', 'to', 'Mars/Interscope', 'Records', 'Alternative', 'Thirty Seconds To Mars', 'Thirty Seconds to Mars Ellen', '30 seconds to mars ellen', 'mars ellen', 'ellen', 'Walk On Water', 'Thirty Seconds to Mars', '30 seconds to mars walk on water', 'thirty seconds to mars walk on water', 'mars', 'mars walk on water', 'walk on water vid', '30 sec to mars', '30 secs to mars walk on water', 'walk on water video', 'official video', 'vid']",1905487,65854,2442,4490,"['US', 'GB']",2017-11-08,13:00:00
9wg3v-01yKQ,11-14-2017,Harry Styles - Kiwi,HarryStylesVEVO,"['Columbia', 'Harry Styles', 'Kiwi', 'Pop']",9632678,810895,16139,59473,"['US', 'GB']",2017-11-08,13:00:01
afgvlR9WmIQ,11-14-2017,Maroon 5 - What Lovers Do (Live On The Ellen DeGeneres Show/2017),Maroon5VEVO,['Maroon 5 SZA What Lovers Do Red Pill Blues Ellen show Ellen DeGeneres'],762616,20159,336,899,['US'],2017-11-09,02:21:31
HNa_UWX51_s,11-14-2017,Last Friday Night - Katy Perry ('40s Jazz Vibes Style Cover) ft. Olivia Kuper Harris,PostmodernJukebox,"['last friday night', 'ella fitzgerald', 'jazz', 'swing', 'olivia kuper harris', 'katy perry', 'katie perry', 'cover', 'pmj', 'katy perry cover', 'last friday night cover', 'katy perry last friday night', 'last friday night katy perry', 'katy perry last friday night cover', 'last friday night katy perry cover', 'katy perry cover last friday night', 'last friday night cover katy perry', 'cover katy perry', 'cover last friday night', 'cover last friday night katy perry', 'olivia kuper harris cover', 'olivia kuper harris live']",226088,10844,302,555,['US'],2017-11-09,18:46:37
_w58R1OGQFA,11-14-2017,Train - Have Yourself a Merry Little Christmas,TrainVEVO,"['christmas', 'train', 'in', 'tahoe']",30021,569,42,44,['US'],2017-11-09,15:00:02
UFPSIa1cLRQ,11-14-2017,Phillip Phillips - Magnetic (Audio),PhilPhillipsVEVO,"['Phillip', 'Phillips', 'Magnetic', 'Interscope', 'Pop']",38068,2195,28,154,['US'],2017-11-09,05:00:01
zZ9FciUx6gs,11-15-2017,Nickelback - The Betrayal Act III [Official Video],Nickelback,"['Nickelback', 'Feed The Machine', 'The Betrayal Act III', 'The Betrayal', 'Rock', 'Alternative', 'Anthem Films', 'Kevin Slack', 'Chad Kroeger', 'Ryan Peake', 'Mike Kroeger', 'Daniel Adair', 'How You Remind Me', 'Rockstar']",208155,11162,569,954,['US'],2017-11-13,15:31:44
PaJCFHXcWmM,11-15-2017,U2 - The Blackout,U2VEVO,"['U2', 'The', 'Blackout', 'Island', 'Records', 'Rock']",210393,8996,290,4043,['US'],2017-11-13,17:00:04
KhdecX0qjNA,11-15-2017,Demi Lovato - Sorry Not Sorry in the Live Lounge,BBCRadio1VEVO,"['Demi Lovato', 'Sorry Not Sorry', 'Live Lounge', 'BBC Radio 1']",131153,7129,78,265,['US'],2017-11-13,20:11:43
e_7zHm7GsYc,11-15-2017,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,"['Hunter', 'Hayes', 'you should be loved', 'the shadowboxers', 'pictures', 'part one', 'official', 'music video', 'trilogy', 'hunter hayes', 'wanted', 'i want crazy', 'storm warning']",68084,2530,88,117,['US'],2017-11-13,15:01:18
MKLlDnUqho4,11-15-2017,Dead Beat Sirah ft. Skrillex (official video),SIRAH,"['Sirah', 'Skrillex', 'Music', 'hip hop', 'female rapper', 'Demi Lovato', 'Owsla', 'Deadbeat', 'Dead Beat']",18317,1322,34,196,['US'],2017-11-14,16:30:00
n1WpP7iowLc,11-15-2017,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,"['Eminem', 'Walk', 'On', 'Water', 'Aftermath/Shady/Interscope', 'Rap']",20539417,840642,47715,124236,"['US', 'CA', 'GB']",2017-11-10,17:00:03
0tO_l_Ed5Rs,11-15-2017,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,"['matthew santoro facts', 'music video', 'matthew santoro', 'Ellevan', 'EllevanMusic', 'HumbleThePoet', 'Humble The Poet', 'FACTS', 'whats that facts']",360223,15873,16033,7803,['US'],2017-11-11,16:00:01
ObIQ0s02UHg,11-15-2017,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,"['Jason Derulo', 'French Montana', 'Pop', 'Other', 'Tip Toe', 'Official Music Video', 'Jason Desrouleaux']",1888789,44007,1997,1794,['US'],2017-11-10,14:40:48
2Vv-BfVoq4g,11-15-2017,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session']",39082222,1721383,23137,90352,"['US', 'CA', 'GB']",2017-11-09,11:04:14
e4FApt6z55c,11-15-2017,Kimbra - Top of the World (Official Music Video),kimbramusic,"['Kimbra', 'Top of the World', 'Pop', 'Primal Heart', 'Gotye', 'Somebody I Used To Know', 'Vows', 'Settle Down', 'Cameo Lover', 'Other', 'Official Music Video']",204298,9321,386,993,['US'],2017-11-10,15:43:00
2XK4omx9uMU,11-15-2017,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,"['capitalfmofficial', 'capital', 'capital fm', 'capital radio', 'radio', 'official', 'remix', 'lyrics', 'official video', 'live', 'capital tv', 'interview', 'camila cabello', 'camila', 'camila fifth harmony', '5th harmony', 'harmonizers', 'Ally Brooke', 'Ally Brooke 5th harmony', 'Ally fifth harmony', 'Ally 5th harmony', 'Normani Kordei', 'Normani 5th harmony', 'Lauren Jauregui', 'Lauren fifth harmony', 'Dinah Jane', 'Dinah 5th harmony', 'ed sheeran', 'shawn mendes', 'justin bieber', 'despacito', 'ed sheeran live']",1126501,48219,444,1083,['US'],2017-11-10,14:40:32
RkHuWjiR-LM,11-15-2017,Neck Deep - Parachute (Official Music Video),Hopeless Records,"['Hopeless Records', 'neck deep', 'parachute', 'the peace and the panic', 'in bloom', 'tpatp', 'neckdeepuk', 'ben barlow', 'dani washington', 'fil thorpe evans', 'sam bowden', 'matt west', 'pop punk']",224608,14843,180,1004,['US'],2017-11-10,18:03:54
DIU3xPdhCBI,11-15-2017,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,"['bbc', 'music', 'bbc music', 'Sam Smith', 'Wedding', 'Sam Smith At The BBC', 'At the BBC']",1137392,26180,992,1055,"['US', 'GB']",2017-11-09,22:26:10
viyRD5z6ilQ,11-15-2017,Luke Bryan - O Holy Night (Audio),LukeBryanVEVO,"['Luke', 'Bryan', 'Holy', 'Night', 'Capitol', 'Records', 'Nashville', 'Holiday']",147193,5405,151,395,['US'],2017-11-10,05:00:01
QFfEtKvXMAs,11-15-2017,Niall Horan - Too Much To Ask (Acoustic),NiallHoranVEVO,"['Niall Horan', 'Niall', 'Horan', 'Too Much To Ask', 'Too Much Too Ask', 'To Much To Ask', 'To Much Too Ask', 'TMTA', 'Too Much To Ask Acoustic', 'Too Much Too Ask Acoustic', 'To Much To Ask Acoustic', 'To Much Too Ask Acoustic', 'TMTA Acoustic', 'Acoustic', 'Acoustic Video']",482334,55001,184,3027,"['US', 'GB']",2017-11-10,17:00:05
J_QGZspO4gg,11-15-2017,Sia - Snowman,SiaVEVO,['Sia Snowman Holiday'],1882868,88072,1219,6083,"['US', 'GB']",2017-11-09,15:45:05
ozkqm2ifMw8,11-15-2017,2CELLOS - Cinema Paradiso [OFFICIAL VIDEO],2CELLOS,"['2CELLOS', 'Luka Sulic', 'Stjepan Hauser', 'cello', 'cellist', 'cellists', 'cover', 'Glee', 'The Piano Guys', 'crossover', '2 Cellos', 'two cellos', 'Hauser', 'Ennio Morricone', 'Cinema Paradiso', 'movie', 'film', 'soundtrack', 'classical', 'music', 'passion', 'Oliver Dragojevic', 'LSO', 'London Symphony Orchestra', 'new album', 'score']",226317,11702,125,471,"['US', 'GB']",2017-11-10,13:24:10
LMCuKltaY3M,11-15-2017,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,"['Elbow', 'Golden', 'Slumbers', 'Polydor', 'Alternative']",180606,2400,159,239,"['US', 'GB']",2017-11-10,08:00:01
1Wk8ZRgXQnY,11-15-2017,Andy Grammer - The Good Parts (Official Audio),Andy Grammer,"['andy', 'grammer', 'the', 'good', 'parts', 'smoke', 'clears', 'new', 'music', 'album', 'singer', 'songwriter', 'pop', 'mu']",41251,1561,29,96,['US'],2017-11-09,22:27:45
tOFkFZbPdnQ,11-15-2017,Typical audience reaction to a bass solo...,Danny Sapko,"['danny sapko', 'bass', 'funk bass', 'bass solo', 'free mp3 download', 'best bass', 'davie504', 'bass boosted songs', 'MEME', 'FUNNY VIDEO', 'VIRAL VIDEO', 'COWS', 'FUNK BASS', 'funk bass solo']",524911,7822,185,403,['US'],2017-11-09,00:44:51
4SANXNco_y4,11-16-2017,Dashboard Confessional: We Fight (Official Audio),Fueled By Ramen,"['Dashboard Confessional', 'Dashboard', 'Chris Carrabba', 'Chris Caraba', 'Chris Carraba', 'Dashboard Music', 'Dashbaord Band', 'New Dashboard Confessional Song', 'New Song', 'new single', 'We Fight', 'Crooked Shadows', 'We Fight Song', 'We fight our way in', 'we fight our way out', 'Fueled By Ramen', 'FBR', 'DC', 'New FBR signing', 'fueled by', 'dashboard signs with FBR', 'New Dashboard Record', 'New Dashboard Confessional', 'New Dashboard Album', 'New Dashboard Confessional Album', 'New dashboard track', 'emo', 'alternative', 'rock']",50934,2793,104,295,['US'],2017-11-15,17:05:36
ENr6CXm1YxU,11-16-2017,Rachel Platten - Whole Heart (Audio),RachelPlattenVEVO,"['Columbia', 'Pop', 'Rachel Platten', 'Whole Heart']",33887,1350,41,69,['US'],2017-11-15,08:00:01
5E4ZBSInqUU,11-16-2017,Marshmello - Blocks (Official Music Video),marshmello,"['marshmello', 'blocks', 'marshmello blocks', 'blocks music video', 'marshmello music video', 'roblox bully story', 'marshmello alone', 'roblox', 'cuphead', 'marshmello nightcore', 'marshmello musically', 'music for kids', 'happy music', 'videos that make you happy', 'sad songs', 'childrens music', 'joytime', 'marshmello joytime', 'frat bro', 'band', 'high school', 'crush', 'mellogang', 'marshmallow', 'noviembre 2017', 'musik elektronik', 'billboard', 'november 2017', 'musica electronica 2017', 'edm 2017', 'best music 2017', 'top 40 2017', 'lego']",2814427,194199,3757,12409,"['US', 'GB']",2017-11-13,17:00:00
zZ9FciUx6gs,11-16-2017,Nickelback - The Betrayal Act III [Official Video],Nickelback,"['Nickelback', 'Feed The Machine', 'The Betrayal Act III', 'The Betrayal', 'Rock', 'Alternative', 'Anthem Films', 'Kevin Slack', 'Chad Kroeger', 'Ryan Peake', 'Mike Kroeger', 'Daniel Adair', 'How You Remind Me', 'Rockstar']",282854,12958,664,1060,['US'],2017-11-13,15:31:44
PaJCFHXcWmM,11-16-2017,U2 - The Blackout,U2VEVO,"['U2', 'The', 'Blackout', 'Island', 'Records', 'Rock']",265822,9045,346,4701,['US'],2017-11-13,17:00:04
KhdecX0qjNA,11-16-2017,Demi Lovato - Sorry Not Sorry in the Live Lounge,BBCRadio1VEVO,"['Demi Lovato', 'Sorry Not Sorry', 'Live Lounge', 'BBC Radio 1']",157522,8012,85,286,['US'],2017-11-13,20:11:43
e_7zHm7GsYc,11-16-2017,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,"['Hunter', 'Hayes', 'you should be loved', 'the shadowboxers', 'pictures', 'part one', 'official', 'music video', 'trilogy', 'hunter hayes', 'wanted', 'i want crazy', 'storm warning']",84091,2892,95,122,['US'],2017-11-13,15:01:18
SFdO-19Xdho,11-16-2017,Clean Bandit - I Miss You feat. Julia Michaels in the Radio 1 Live Lounge,BBC Radio 1,"['clean bandit', 'i miss you', 'live lounge', 'julie michaels', 'bbc']",37575,1679,21,82,['US'],2017-11-14,16:23:31
MKLlDnUqho4,11-16-2017,Dead Beat Sirah ft. Skrillex (official video),SIRAH,"['Sirah', 'Skrillex', 'Music', 'hip hop', 'female rapper', 'Demi Lovato', 'Owsla', 'Deadbeat', 'Dead Beat']",28147,1801,48,263,['US'],2017-11-14,16:30:00
n1WpP7iowLc,11-16-2017,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,"['Eminem', 'Walk', 'On', 'Water', 'Aftermath/Shady/Interscope', 'Rap']",22702386,869304,50018,123227,"['US', 'CA', 'GB']",2017-11-10,17:00:03
0tO_l_Ed5Rs,11-16-2017,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,"['matthew santoro facts', 'music video', 'matthew santoro', 'Ellevan', 'EllevanMusic', 'HumbleThePoet', 'Humble The Poet', 'FACTS', 'whats that facts']",381688,16467,18775,8352,['US'],2017-11-11,16:00:01
ObIQ0s02UHg,11-16-2017,Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Jason Derulo,"['Jason Derulo', 'French Montana', 'Pop', 'Other', 'Tip Toe', 'Official Music Video', 'Jason Desrouleaux']",2398093,48511,2221,1843,['US'],2017-11-10,14:40:48
2Vv-BfVoq4g,11-16-2017,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session']",43449654,1788960,24548,93428,"['US', 'GB']",2017-11-09,11:04:14
e4FApt6z55c,11-16-2017,Kimbra - Top of the World (Official Music Video),kimbramusic,"['Kimbra', 'Top of the World', 'Pop', 'Primal Heart', 'Gotye', 'Somebody I Used To Know', 'Vows', 'Settle Down', 'Cameo Lover', 'Other', 'Official Music Video']",226659,9725,400,1027,['US'],2017-11-10,15:43:00
RkHuWjiR-LM,11-16-2017,Neck Deep - Parachute (Official Music Video),Hopeless Records,"['Hopeless Records', 'neck deep', 'parachute', 'the peace and the panic', 'in bloom', 'tpatp', 'neckdeepuk', 'ben barlow', 'dani washington', 'fil thorpe evans', 'sam bowden', 'matt west', 'pop punk']",241314,15071,186,1011,['US'],2017-11-10,18:03:54
2XK4omx9uMU,11-16-2017,Camila Cabello COMPLETELY NAILS 'Finish The Lyric',Capital FM,"['capitalfmofficial', 'capital', 'capital fm', 'capital radio', 'radio', 'official', 'remix', 'lyrics', 'official video', 'live', 'capital tv', 'interview', 'camila cabello', 'camila', 'camila fifth harmony', '5th harmony', 'harmonizers', 'Ally Brooke', 'Ally Brooke 5th harmony', 'Ally fifth harmony', 'Ally 5th harmony', 'Normani Kordei', 'Normani 5th harmony', 'Lauren Jauregui', 'Lauren fifth harmony', 'Dinah Jane', 'Dinah 5th harmony', 'ed sheeran', 'shawn mendes', 'justin bieber', 'despacito', 'ed sheeran live']",1354030,57838,512,1257,['US'],2017-11-10,14:40:32
DIU3xPdhCBI,11-16-2017,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,"['bbc', 'music', 'bbc music', 'Sam Smith', 'Wedding', 'Sam Smith At The BBC', 'At the BBC']",1262652,28119,1047,1113,"['US', 'GB']",2017-11-09,22:26:10
